,sentiment,prediction
2,1,1
5,0,0
6,0,0
9,0,0
10,0,0
12,0,0
13,0,0
16,1,1
18,0,0
19,1,1
20,1,1
23,0,0
25,0,0
29,1,1
31,1,1
32,0,0
33,0,0
35,0,0
37,1,1
40,1,1
47,1,1
48,0,0
49,1,1
52,1,1
53,0,0
54,0,0
55,1,1
57,1,1
59,1,1
60,1,1
61,0,0
65,1,1
66,1,1
69,0,0
70,0,0
72,1,1
73,1,1
75,0,0
76,0,0
80,0,0
81,0,0
84,0,0
87,1,1
88,0,0
89,1,1
90,0,0
94,0,0
95,1,1
96,0,0
97,0,0
98,1,1
100,1,0
101,1,1
102,0,0
104,1,1
105,0,0
106,1,1
107,1,1
108,0,0
109,1,1
111,0,0
112,1,1
113,1,1
119,1,1
123,1,1
125,1,1
126,1,1
128,0,0
131,1,1
133,0,0
135,1,1
136,1,1
137,0,0
139,0,0
140,1,1
141,1,1
143,1,1
144,1,0
151,0,0
153,0,0
155,1,1
156,1,1
157,0,0
158,1,1
160,1,1
161,0,0
162,1,1
163,1,0
168,1,1
169,0,0
171,0,0
174,0,0
175,0,0
176,1,1
179,1,0
180,1,1
181,0,0
183,1,1
185,0,0
187,0,0
188,1,0
189,1,1
190,0,0
191,1,1
193,0,0
195,1,1
197,0,0
198,1,1
199,0,0
200,1,1
202,0,0
206,0,0
211,0,0
212,1,1
215,0,0
217,0,1
218,1,1
224,1,1
228,1,1
229,0,0
231,0,0
232,1,1
233,0,0
241,0,0
242,0,0
243,1,1
244,0,0
245,1,1
251,1,1
252,0,0
256,0,1
257,0,0
262,1,1
264,1,1
267,0,0
268,0,0
271,0,0
273,1,0
275,1,0
276,1,1
277,0,0
279,1,1
282,1,1
283,1,1
284,1,1
288,0,0
290,1,1
292,1,1
293,1,1
295,0,0
298,0,0
300,0,0
303,1,1
305,1,1
310,0,0
314,1,1
316,0,0
317,1,1
320,1,1
321,1,0
323,0,0
324,0,0
325,0,0
328,1,1
329,1,1
330,1,1
331,1,0
332,0,1
334,0,0
335,1,1
336,0,0
337,0,0
339,0,0
343,1,0
344,0,0
346,0,0
347,0,0
348,0,0
350,0,0
351,1,1
353,1,0
356,1,1
357,1,1
358,0,0
360,1,1
361,0,0
367,0,0
372,0,0
374,0,0
375,0,0
376,1,0
378,0,0
382,0,1
383,0,0
384,0,0
